	 time{0000000c}	 RST{1}	 PC_4{00000003}	 INPORT{xxxxxxxx}	 GCnt_Out_DEC{0}	 GCnt_Out_EXE{0}	 GCnt_Out_MEM{0}	 GCnt_Out_WB{0}	 OUTPORT{xxxxxxxx}	 Vout{x}	 MULOP{0000000000000000}	 NoAdd{0}	 CondOut{1}	 PC_SEL{0}	 PC_OUT{ffffffff}	 WDAT{ffffffff}	 PC_DECODE{ffffffff}	 I_OUT{xxxxxxxx}	 INT_REG_OUT{ffffffff}	 RDAT1{00008000}	 MUL_ADD{0}	 RDAT2{00008000}	 RDAT3{00008000}	 R1_IN{1111}	 R2_IN{1111}	 R3_IN{1111}	 OP1_FWD_Sel{00}	 OP2_FWD_Sel{00}	 OP3_FWD_Sel{00}	 Cin{x}	 Cout{0}	 Dec_CntWord{000000000}	 Exe_CntWord{00000000000000}	 Mem_CntWord{000000000}	 WB_CntWord{000}	 OP1_IN{00008000}	 OP2_IN{00008000}	 OP3_IN{00008000}	 OP1_OUT{ffffffff}	 OP2_OUT{ffffffff}	 OP3_OUT{ffffffff}	 MULOUT{00000001}	 Ain{ffffffff}	 Bin{xxxxxxxx}	 EXEOUT{xxxxxxxx}	 MEM_FWD{ffffffff}	 WB_FWD{ffffffff}	 WB_IN{ffffffff}	 MEM_Out{xxxxxxxx}	 OP_EXE_OUT{ffffffff}	 DestReg_Gen{zzzz}	 DecROM_Decode{       0}	 ExeROM_Decode{       0}	 WBROM_Decode{       0}	 SFTout{xxxxxxxx}	 MEM_ADD{ffffffff}	 OP_temp{0000}	 ALUout{xxxxxxxx}	 MEM_ADD_OUT{ffffffff}	 MEM_ADD_IN{fffffffb}	 MADD{fffffffb}	 RD_Out{ffffffff}	 MEM_DIN{ffffffff}	 B_HW_W{00}	 WRITE_MEM{0}	 MEM_MUX_OUT{ffffffff}	 CPSR_Out{0000}	 ALUOutReg{ffffffff}	 WB_Out{ffffffff}	 MEM_DATA_out{ffffffff}	 WADD{       z}	 WEN{0}	 MUL_ADD{0000}	 OP_MEM_OUT{xxxxxxxx}	 OP_WB_OUT{ffffffff}	 DestAddEXE{zzzzz}	 DestAddMEM{xxxx}	 DestAddWB{zzzz}	 Dest_Reg_ADD{0zzzz}
 	 time{000000e8}	 RST{0}	 PC_4{00000023}	 INPORT{xxxxxxxx}	 GCnt_Out_DEC{1}	 GCnt_Out_EXE{1}	 GCnt_Out_MEM{1}	 GCnt_Out_WB{1}	 OUTPORT{xxxxxxxx}	 Vout{x}	 MULOP{0000000000100000}	 NoAdd{0}	 CondOut{1}	 PC_SEL{0}	 PC_OUT{0000001f}	 WDAT{16151413}	 PC_DECODE{0000000b}	 I_OUT{ffffffff}	 INT_REG_OUT{e891003f}	 RDAT1{00000020}	 MUL_ADD{5}	 RDAT2{08070605}	 RDAT3{12111009}	 R1_IN{0101}	 R2_IN{0000}	 R3_IN{0001}	 OP1_FWD_Sel{00}	 OP2_FWD_Sel{00}	 OP3_FWD_Sel{00}	 Cin{0}	 Cout{0}	 Dec_CntWord{110110010}	 Exe_CntWord{00001000001010}	 Mem_CntWord{010000000}	 WB_CntWord{111}	 OP1_IN{00000020}	 OP2_IN{08070605}	 OP3_IN{12111009}	 OP1_OUT{00000010}	 OP2_OUT{08070605}	 OP3_OUT{12111009}	 MULOUT{80706050}	 Ain{80706050}	 Bin{xxxxxxxx}	 EXEOUT{X0X0X0X0}	 MEM_FWD{201918fc}	 WB_FWD{16151413}	 WB_IN{X0XXX0XX}	 MEM_Out{201918fc}	 OP_EXE_OUT{e891003f}	 DestReg_Gen{zzzz}	 DecROM_Decode{       9}	 ExeROM_Decode{       9}	 WBROM_Decode{       9}	 SFTout{xxxxxxxx}	 MEM_ADD{12111009}	 OP_temp{0000}	 ALUout{X0X0X0X0}	 MEM_ADD_OUT{00000010}	 MEM_ADD_IN{00000014}	 MADD{0000000c}	 RD_Out{08070605}	 MEM_DIN{08070605}	 B_HW_W{00}	 WRITE_MEM{0}	 MEM_MUX_OUT{00000010}	 CPSR_Out{0000}	 ALUOutReg{X0XXX0XX}	 WB_Out{X0XXXXXX}	 MEM_DATA_out{16151413}	 WADD{       2}	 WEN{1}	 MUL_ADD{0101}	 OP_MEM_OUT{e891003f}	 OP_WB_OUT{e891003f}	 DestAddEXE{10100}	 DestAddMEM{0011}	 DestAddWB{0010}	 Dest_Reg_ADD{10101}
 	 time{000000fc}	 RST{0}	 PC_4{00000027}	 INPORT{xxxxxxxx}	 GCnt_Out_DEC{0}	 GCnt_Out_EXE{1}	 GCnt_Out_MEM{1}	 GCnt_Out_WB{1}	 OUTPORT{xxxxxxxx}	 Vout{0}	 MULOP{0000000000000000}	 NoAdd{1}	 CondOut{1}	 PC_SEL{0}	 PC_OUT{00000023}	 WDAT{201918fc}	 PC_DECODE{00000023}	 I_OUT{ffffffff}	 INT_REG_OUT{ffffffff}	 RDAT1{00008000}	 MUL_ADD{0}	 RDAT2{00008000}	 RDAT3{00008000}	 R1_IN{1111}	 R2_IN{1111}	 R3_IN{1111}	 OP1_FWD_Sel{00}	 OP2_FWD_Sel{00}	 OP3_FWD_Sel{00}	 Cin{0}	 Cout{0}	 Dec_CntWord{000000000}	 Exe_CntWord{00001000001010}	 Mem_CntWord{010000000}	 WB_CntWord{111}	 OP1_IN{00008000}	 OP2_IN{00008000}	 OP3_IN{00008000}	 OP1_OUT{00000020}	 OP2_OUT{08070605}	 OP3_OUT{12111009}	 MULOUT{00e0c0a0}	 Ain{00e0c0a0}	 Bin{xxxxxxxx}	 EXEOUT{00X0X0X0}	 MEM_FWD{24232221}	 WB_FWD{201918fc}	 WB_IN{X0X0X0X0}	 MEM_Out{24232221}	 OP_EXE_OUT{e891003f}	 DestReg_Gen{zzzz}	 DecROM_Decode{       0}	 ExeROM_Decode{       9}	 WBROM_Decode{       9}	 SFTout{xxxxxxxx}	 MEM_ADD{12111009}	 OP_temp{0000}	 ALUout{00X0X0X0}	 MEM_ADD_OUT{00000014}	 MEM_ADD_IN{00000018}	 MADD{00000010}	 RD_Out{08070605}	 MEM_DIN{08070605}	 B_HW_W{00}	 WRITE_MEM{0}	 MEM_MUX_OUT{00000014}	 CPSR_Out{0000}	 ALUOutReg{X0X0X0X0}	 WB_Out{X0XXX0XX}	 MEM_DATA_out{201918fc}	 WADD{       3}	 WEN{1}	 MUL_ADD{0000}	 OP_MEM_OUT{e891003f}	 OP_WB_OUT{e891003f}	 DestAddEXE{10101}	 DestAddMEM{0100}	 DestAddWB{0011}	 Dest_Reg_ADD{0zzzz}
 	 time{00000110}	 RST{0}	 PC_4{0000002b}	 INPORT{xxxxxxxx}	 GCnt_Out_DEC{1}	 GCnt_Out_EXE{0}	 GCnt_Out_MEM{1}	 GCnt_Out_WB{1}	 OUTPORT{xxxxxxxx}	 Vout{0}	 MULOP{0000000000000000}	 NoAdd{1}	 CondOut{1}	 PC_SEL{0}	 PC_OUT{00000027}	 WDAT{24232221}	 PC_DECODE{00000023}	 I_OUT{ffffffff}	 INT_REG_OUT{ffffffff}	 RDAT1{00008000}	 MUL_ADD{0}	 RDAT2{00008000}	 RDAT3{00008000}	 R1_IN{1111}	 R2_IN{1111}	 R3_IN{1111}	 OP1_FWD_Sel{00}	 OP2_FWD_Sel{00}	 OP3_FWD_Sel{00}	 Cin{0}	 Cout{0}	 Dec_CntWord{000000000}	 Exe_CntWord{00000000000000}	 Mem_CntWord{010000000}	 WB_CntWord{111}	 OP1_IN{00008000}	 OP2_IN{00008000}	 OP3_IN{00008000}	 OP1_OUT{00008000}	 OP2_OUT{00008000}	 OP3_OUT{00008000}	 MULOUT{40000000}	 Ain{00008000}	 Bin{xxxxxxxx}	 EXEOUT{0000X000}	 MEM_FWD{28272625}	 WB_FWD{24232221}	 WB_IN{00X0X0X0}	 MEM_Out{28272625}	 OP_EXE_OUT{ffffffff}	 DestReg_Gen{zzzz}	 DecROM_Decode{       0}	 ExeROM_Decode{       0}	 WBROM_Decode{       9}	 SFTout{xxxxxxxx}	 MEM_ADD{00008000}	 OP_temp{0000}	 ALUout{0000X000}	 MEM_ADD_OUT{00000018}	 MEM_ADD_IN{00007ffc}	 MADD{00000014}	 RD_Out{08070605}	 MEM_DIN{08070605}	 B_HW_W{00}	 WRITE_MEM{0}	 MEM_MUX_OUT{00008000}	 CPSR_Out{0000}	 ALUOutReg{00X0X0X0}	 WB_Out{X0X0X0X0}	 MEM_DATA_out{24232221}	 WADD{       4}	 WEN{1}	 MUL_ADD{0000}	 OP_MEM_OUT{e891003f}	 OP_WB_OUT{e891003f}	 DestAddEXE{0zzzz}	 DestAddMEM{0101}	 DestAddWB{0100}	 Dest_Reg_ADD{0zzzz}
 	 time{00000124}	 RST{0}	 PC_4{0000002f}	 INPORT{xxxxxxxx}	 GCnt_Out_DEC{1}	 GCnt_Out_EXE{1}	 GCnt_Out_MEM{0}	 GCnt_Out_WB{1}	 OUTPORT{xxxxxxxx}	 Vout{0}	 MULOP{0000000000000000}	 NoAdd{1}	 CondOut{1}	 PC_SEL{0}	 PC_OUT{0000002b}	 WDAT{28272625}	 PC_DECODE{00000023}	 I_OUT{ffffffff}	 INT_REG_OUT{ffffffff}	 RDAT1{00008000}	 MUL_ADD{0}	 RDAT2{00008000}	 RDAT3{00008000}	 R1_IN{1111}	 R2_IN{1111}	 R3_IN{1111}	 OP1_FWD_Sel{00}	 OP2_FWD_Sel{00}	 OP3_FWD_Sel{00}	 Cin{0}	 Cout{0}	 Dec_CntWord{000000000}	 Exe_CntWord{00000000000000}	 Mem_CntWord{000000000}	 WB_CntWord{111}	 OP1_IN{00008000}	 OP2_IN{00008000}	 OP3_IN{00008000}	 OP1_OUT{00008000}	 OP2_OUT{00008000}	 OP3_OUT{00008000}	 MULOUT{40000000}	 Ain{00008000}	 Bin{xxxxxxxx}	 EXEOUT{0000X000}	 MEM_FWD{0000X000}	 WB_FWD{28272625}	 WB_IN{0000X000}	 MEM_Out{xxxxxxxx}	 OP_EXE_OUT{ffffffff}	 DestReg_Gen{zzzz}	 DecROM_Decode{       0}	 ExeROM_Decode{       0}	 WBROM_Decode{       9}	 SFTout{xxxxxxxx}	 MEM_ADD{00008000}	 OP_temp{0000}	 ALUout{0000X000}	 MEM_ADD_OUT{00007ffc}	 MEM_ADD_IN{00007ffc}	 MADD{00007ff8}	 RD_Out{00008000}	 MEM_DIN{00008000}	 B_HW_W{00}	 WRITE_MEM{0}	 MEM_MUX_OUT{00008000}	 CPSR_Out{0000}	 ALUOutReg{0000X000}	 WB_Out{00X0X0X0}	 MEM_DATA_out{28272625}	 WADD{       5}	 WEN{1}	 MUL_ADD{0000}	 OP_MEM_OUT{ffffffff}	 OP_WB_OUT{e891003f}	 DestAddEXE{0zzzz}	 DestAddMEM{zzzz}	 DestAddWB{0101}	 Dest_Reg_ADD{0zzzz}
 	 time{00000138}	 RST{0}	 PC_4{00000033}	 INPORT{xxxxxxxx}	 GCnt_Out_DEC{1}	 GCnt_Out_EXE{1}	 GCnt_Out_MEM{1}	 GCnt_Out_WB{0}	 OUTPORT{xxxxxxxx}	 Vout{0}	 MULOP{0000000000000000}	 NoAdd{1}	 CondOut{1}	 PC_SEL{0}	 PC_OUT{0000002f}	 WDAT{0000X000}	 PC_DECODE{00000023}	 I_OUT{ffffffff}	 INT_REG_OUT{ffffffff}	 RDAT1{00008000}	 MUL_ADD{0}	 RDAT2{00008000}	 RDAT3{00008000}	 R1_IN{1111}	 R2_IN{1111}	 R3_IN{1111}	 OP1_FWD_Sel{00}	 OP2_FWD_Sel{00}	 OP3_FWD_Sel{00}	 Cin{0}	 Cout{0}	 Dec_CntWord{000000000}	 Exe_CntWord{00000000000000}	 Mem_CntWord{000000000}	 WB_CntWord{000}	 OP1_IN{00008000}	 OP2_IN{00008000}	 OP3_IN{00008000}	 OP1_OUT{00008000}	 OP2_OUT{00008000}	 OP3_OUT{00008000}	 MULOUT{40000000}	 Ain{00008000}	 Bin{xxxxxxxx}	 EXEOUT{0000X000}	 MEM_FWD{0000X000}	 WB_FWD{0000X000}	 WB_IN{0000X000}	 MEM_Out{xxxxxxxx}	 OP_EXE_OUT{ffffffff}	 DestReg_Gen{zzzz}	 DecROM_Decode{       0}	 ExeROM_Decode{       0}	 WBROM_Decode{       0}	 SFTout{xxxxxxxx}	 MEM_ADD{00008000}	 OP_temp{0000}	 ALUout{0000X000}	 MEM_ADD_OUT{00007ffc}	 MEM_ADD_IN{00007ffc}	 MADD{00007ff8}	 RD_Out{00008000}	 MEM_DIN{00008000}	 B_HW_W{00}	 WRITE_MEM{0}	 MEM_MUX_OUT{00008000}	 CPSR_Out{0000}	 ALUOutReg{0000X000}	 WB_Out{0000X000}	 MEM_DATA_out{xxxxxxxx}	 WADD{       z}	 WEN{0}	 MUL_ADD{0000}	 OP_MEM_OUT{ffffffff}	 OP_WB_OUT{ffffffff}	 DestAddEXE{0zzzz}	 DestAddMEM{zzzz}	 DestAddWB{zzzz}	 Dest_Reg_ADD{0zzzz}
 	 time{0000014c}	 RST{0}	 PC_4{00000037}	 INPORT{xxxxxxxx}	 GCnt_Out_DEC{1}	 GCnt_Out_EXE{1}	 GCnt_Out_MEM{1}	 GCnt_Out_WB{1}	 OUTPORT{xxxxxxxx}	 Vout{0}	 MULOP{0000000000000000}	 NoAdd{1}	 CondOut{1}	 PC_SEL{0}	 PC_OUT{00000033}	 WDAT{0000X000}	 PC_DECODE{00000023}	 I_OUT{ffffffff}	 INT_REG_OUT{ffffffff}	 RDAT1{00008000}	 MUL_ADD{0}	 RDAT2{00008000}	 RDAT3{00008000}	 R1_IN{1111}	 R2_IN{1111}	 R3_IN{1111}	 OP1_FWD_Sel{00}	 OP2_FWD_Sel{00}	 OP3_FWD_Sel{00}	 Cin{0}	 Cout{0}	 Dec_CntWord{000000000}	 Exe_CntWord{00000000000000}	 Mem_CntWord{000000000}	 WB_CntWord{000}	 OP1_IN{00008000}	 OP2_IN{00008000}	 OP3_IN{00008000}	 OP1_OUT{00008000}	 OP2_OUT{00008000}	 OP3_OUT{00008000}	 MULOUT{40000000}	 Ain{00008000}	 Bin{xxxxxxxx}	 EXEOUT{0000X000}	 MEM_FWD{0000X000}	 WB_FWD{0000X000}	 WB_IN{0000X000}	 MEM_Out{xxxxxxxx}	 OP_EXE_OUT{ffffffff}	 DestReg_Gen{zzzz}	 DecROM_Decode{       0}	 ExeROM_Decode{       0}	 WBROM_Decode{       0}	 SFTout{xxxxxxxx}	 MEM_ADD{00008000}	 OP_temp{0000}	 ALUout{0000X000}	 MEM_ADD_OUT{00007ffc}	 MEM_ADD_IN{00007ffc}	 MADD{00007ff8}	 RD_Out{00008000}	 MEM_DIN{00008000}	 B_HW_W{00}	 WRITE_MEM{0}	 MEM_MUX_OUT{00008000}	 CPSR_Out{0000}	 ALUOutReg{0000X000}	 WB_Out{0000X000}	 MEM_DATA_out{xxxxxxxx}	 WADD{       z}	 WEN{0}	 MUL_ADD{0000}	 OP_MEM_OUT{ffffffff}	 OP_WB_OUT{ffffffff}	 DestAddEXE{0zzzz}	 DestAddMEM{zzzz}	 DestAddWB{zzzz}	 Dest_Reg_ADD{0zzzz}
 	 time{00000160}	 RST{0}	 PC_4{0000003b}	 INPORT{xxxxxxxx}	 GCnt_Out_DEC{1}	 GCnt_Out_EXE{1}	 GCnt_Out_MEM{1}	 GCnt_Out_WB{1}	 OUTPORT{xxxxxxxx}	 Vout{0}	 MULOP{0000000000000000}	 NoAdd{1}	 CondOut{1}	 PC_SEL{0}	 PC_OUT{00000037}	 WDAT{0000X000}	 PC_DECODE{00000023}	 I_OUT{ffffffff}	 INT_REG_OUT{ffffffff}	 RDAT1{00008000}	 MUL_ADD{0}	 RDAT2{00008000}	 RDAT3{00008000}	 R1_IN{1111}	 R2_IN{1111}	 R3_IN{1111}	 OP1_FWD_Sel{00}	 OP2_FWD_Sel{00}	 OP3_FWD_Sel{00}	 Cin{0}	 Cout{0}	 Dec_CntWord{000000000}	 Exe_CntWord{00000000000000}	 Mem_CntWord{000000000}	 WB_CntWord{000}	 OP1_IN{00008000}	 OP2_IN{00008000}	 OP3_IN{00008000}	 OP1_OUT{00008000}	 OP2_OUT{00008000}	 OP3_OUT{00008000}	 MULOUT{40000000}	 Ain{00008000}	 Bin{xxxxxxxx}	 EXEOUT{0000X000}	 MEM_FWD{0000X000}	 WB_FWD{0000X000}	 WB_IN{0000X000}	 MEM_Out{xxxxxxxx}	 OP_EXE_OUT{ffffffff}	 DestReg_Gen{zzzz}	 DecROM_Decode{       0}	 ExeROM_Decode{       0}	 WBROM_Decode{       0}	 SFTout{xxxxxxxx}	 MEM_ADD{00008000}	 OP_temp{0000}	 ALUout{0000X000}	 MEM_ADD_OUT{00007ffc}	 MEM_ADD_IN{00007ffc}	 MADD{00007ff8}	 RD_Out{00008000}	 MEM_DIN{00008000}	 B_HW_W{00}	 WRITE_MEM{0}	 MEM_MUX_OUT{00008000}	 CPSR_Out{0000}	 ALUOutReg{0000X000}	 WB_Out{0000X000}	 MEM_DATA_out{xxxxxxxx}	 WADD{       z}	 WEN{0}	 MUL_ADD{0000}	 OP_MEM_OUT{ffffffff}	 OP_WB_OUT{ffffffff}	 DestAddEXE{0zzzz}	 DestAddMEM{zzzz}	 DestAddWB{zzzz}	 Dest_Reg_ADD{0zzzz}
 	 time{00000174}	 RST{0}	 PC_4{0000003f}	 INPORT{xxxxxxxx}	 GCnt_Out_DEC{1}	 GCnt_Out_EXE{1}	 GCnt_Out_MEM{1}	 GCnt_Out_WB{1}	 OUTPORT{xxxxxxxx}	 Vout{0}	 MULOP{0000000000000000}	 NoAdd{1}	 CondOut{1}	 PC_SEL{0}	 PC_OUT{0000003b}	 WDAT{0000X000}	 PC_DECODE{00000023}	 I_OUT{ffffffff}	 INT_REG_OUT{ffffffff}	 RDAT1{00008000}	 MUL_ADD{0}	 RDAT2{00008000}	 RDAT3{00008000}	 R1_IN{1111}	 R2_IN{1111}	 R3_IN{1111}	 OP1_FWD_Sel{00}	 OP2_FWD_Sel{00}	 OP3_FWD_Sel{00}	 Cin{0}	 Cout{0}	 Dec_CntWord{000000000}	 Exe_CntWord{00000000000000}	 Mem_CntWord{000000000}	 WB_CntWord{000}	 OP1_IN{00008000}	 OP2_IN{00008000}	 OP3_IN{00008000}	 OP1_OUT{00008000}	 OP2_OUT{00008000}	 OP3_OUT{00008000}	 MULOUT{40000000}	 Ain{00008000}	 Bin{xxxxxxxx}	 EXEOUT{0000X000}	 MEM_FWD{0000X000}	 WB_FWD{0000X000}	 WB_IN{0000X000}	 MEM_Out{xxxxxxxx}	 OP_EXE_OUT{ffffffff}	 DestReg_Gen{zzzz}	 DecROM_Decode{       0}	 ExeROM_Decode{       0}	 WBROM_Decode{       0}	 SFTout{xxxxxxxx}	 MEM_ADD{00008000}	 OP_temp{0000}	 ALUout{0000X000}	 MEM_ADD_OUT{00007ffc}	 MEM_ADD_IN{00007ffc}	 MADD{00007ff8}	 RD_Out{00008000}	 MEM_DIN{00008000}	 B_HW_W{00}	 WRITE_MEM{0}	 MEM_MUX_OUT{00008000}	 CPSR_Out{0000}	 ALUOutReg{0000X000}	 WB_Out{0000X000}	 MEM_DATA_out{xxxxxxxx}	 WADD{       z}	 WEN{0}	 MUL_ADD{0000}	 OP_MEM_OUT{ffffffff}	 OP_WB_OUT{ffffffff}	 DestAddEXE{0zzzz}	 DestAddMEM{zzzz}	 DestAddWB{zzzz}	 Dest_Reg_ADD{0zzzz}
 	 time{00000188}	 RST{0}	 PC_4{00000043}	 INPORT{xxxxxxxx}	 GCnt_Out_DEC{1}	 GCnt_Out_EXE{1}	 GCnt_Out_MEM{1}	 GCnt_Out_WB{1}	 OUTPORT{xxxxxxxx}	 Vout{0}	 MULOP{0000000000000000}	 NoAdd{1}	 CondOut{1}	 PC_SEL{0}	 PC_OUT{0000003f}	 WDAT{0000X000}	 PC_DECODE{00000023}	 I_OUT{ffffffff}	 INT_REG_OUT{ffffffff}	 RDAT1{00008000}	 MUL_ADD{0}	 RDAT2{00008000}	 RDAT3{00008000}	 R1_IN{1111}	 R2_IN{1111}	 R3_IN{1111}	 OP1_FWD_Sel{00}	 OP2_FWD_Sel{00}	 OP3_FWD_Sel{00}	 Cin{0}	 Cout{0}	 Dec_CntWord{000000000}	 Exe_CntWord{00000000000000}	 Mem_CntWord{000000000}	 WB_CntWord{000}	 OP1_IN{00008000}	 OP2_IN{00008000}	 OP3_IN{00008000}	 OP1_OUT{00008000}	 OP2_OUT{00008000}	 OP3_OUT{00008000}	 MULOUT{40000000}	 Ain{00008000}	 Bin{xxxxxxxx}	 EXEOUT{0000X000}	 MEM_FWD{0000X000}	 WB_FWD{0000X000}	 WB_IN{0000X000}	 MEM_Out{xxxxxxxx}	 OP_EXE_OUT{ffffffff}	 DestReg_Gen{zzzz}	 DecROM_Decode{       0}	 ExeROM_Decode{       0}	 WBROM_Decode{       0}	 SFTout{xxxxxxxx}	 MEM_ADD{00008000}	 OP_temp{0000}	 ALUout{0000X000}	 MEM_ADD_OUT{00007ffc}	 MEM_ADD_IN{00007ffc}	 MADD{00007ff8}	 RD_Out{00008000}	 MEM_DIN{00008000}	 B_HW_W{00}	 WRITE_MEM{0}	 MEM_MUX_OUT{00008000}	 CPSR_Out{0000}	 ALUOutReg{0000X000}	 WB_Out{0000X000}	 MEM_DATA_out{xxxxxxxx}	 WADD{       z}	 WEN{0}	 MUL_ADD{0000}	 OP_MEM_OUT{ffffffff}	 OP_WB_OUT{ffffffff}	 DestAddEXE{0zzzz}	 DestAddMEM{zzzz}	 DestAddWB{zzzz}	 Dest_Reg_ADD{0zzzz}
 	 time{0000019c}	 RST{0}	 PC_4{00000047}	 INPORT{xxxxxxxx}	 GCnt_Out_DEC{1}	 GCnt_Out_EXE{1}	 GCnt_Out_MEM{1}	 GCnt_Out_WB{1}	 OUTPORT{xxxxxxxx}	 Vout{0}	 MULOP{0000000000000000}	 NoAdd{1}	 CondOut{1}	 PC_SEL{0}	 PC_OUT{00000043}	 WDAT{0000X000}	 PC_DECODE{00000023}	 I_OUT{ffffffff}	 INT_REG_OUT{ffffffff}	 RDAT1{00008000}	 MUL_ADD{0}	 RDAT2{00008000}	 RDAT3{00008000}	 R1_IN{1111}	 R2_IN{1111}	 R3_IN{1111}	 OP1_FWD_Sel{00}	 OP2_FWD_Sel{00}	 OP3_FWD_Sel{00}	 Cin{0}	 Cout{0}	 Dec_CntWord{000000000}	 Exe_CntWord{00000000000000}	 Mem_CntWord{000000000}	 WB_CntWord{000}	 OP1_IN{00008000}	 OP2_IN{00008000}	 OP3_IN{00008000}	 OP1_OUT{00008000}	 OP2_OUT{00008000}	 OP3_OUT{00008000}	 MULOUT{40000000}	 Ain{00008000}	 Bin{xxxxxxxx}	 EXEOUT{0000X000}	 MEM_FWD{0000X000}	 WB_FWD{0000X000}	 WB_IN{0000X000}	 MEM_Out{xxxxxxxx}	 OP_EXE_OUT{ffffffff}	 DestReg_Gen{zzzz}	 DecROM_Decode{       0}	 ExeROM_Decode{       0}	 WBROM_Decode{       0}	 SFTout{xxxxxxxx}	 MEM_ADD{00008000}	 OP_temp{0000}	 ALUout{0000X000}	 MEM_ADD_OUT{00007ffc}	 MEM_ADD_IN{00007ffc}	 MADD{00007ff8}	 RD_Out{00008000}	 MEM_DIN{00008000}	 B_HW_W{00}	 WRITE_MEM{0}	 MEM_MUX_OUT{00008000}	 CPSR_Out{0000}	 ALUOutReg{0000X000}	 WB_Out{0000X000}	 MEM_DATA_out{xxxxxxxx}	 WADD{       z}	 WEN{0}	 MUL_ADD{0000}	 OP_MEM_OUT{ffffffff}	 OP_WB_OUT{ffffffff}	 DestAddEXE{0zzzz}	 DestAddMEM{zzzz}	 DestAddWB{zzzz}	 Dest_Reg_ADD{0zzzz}
 	 time{000001b0}	 RST{0}	 PC_4{0000004b}	 INPORT{xxxxxxxx}	 GCnt_Out_DEC{1}	 GCnt_Out_EXE{1}	 GCnt_Out_MEM{1}	 GCnt_Out_WB{1}	 OUTPORT{xxxxxxxx}	 Vout{0}	 MULOP{0000000000000000}	 NoAdd{1}	 CondOut{1}	 PC_SEL{0}	 PC_OUT{00000047}	 WDAT{0000X000}	 PC_DECODE{00000023}	 I_OUT{ffffffff}	 INT_REG_OUT{ffffffff}	 RDAT1{00008000}	 MUL_ADD{0}	 RDAT2{00008000}	 RDAT3{00008000}	 R1_IN{1111}	 R2_IN{1111}	 R3_IN{1111}	 OP1_FWD_Sel{00}	 OP2_FWD_Sel{00}	 OP3_FWD_Sel{00}	 Cin{0}	 Cout{0}	 Dec_CntWord{000000000}	 Exe_CntWord{00000000000000}	 Mem_CntWord{000000000}	 WB_CntWord{000}	 OP1_IN{00008000}	 OP2_IN{00008000}	 OP3_IN{00008000}	 OP1_OUT{00008000}	 OP2_OUT{00008000}	 OP3_OUT{00008000}	 MULOUT{40000000}	 Ain{00008000}	 Bin{xxxxxxxx}	 EXEOUT{0000X000}	 MEM_FWD{0000X000}	 WB_FWD{0000X000}	 WB_IN{0000X000}	 MEM_Out{xxxxxxxx}	 OP_EXE_OUT{ffffffff}	 DestReg_Gen{zzzz}	 DecROM_Decode{       0}	 ExeROM_Decode{       0}	 WBROM_Decode{       0}	 SFTout{xxxxxxxx}	 MEM_ADD{00008000}	 OP_temp{0000}	 ALUout{0000X000}	 MEM_ADD_OUT{00007ffc}	 MEM_ADD_IN{00007ffc}	 MADD{00007ff8}	 RD_Out{00008000}	 MEM_DIN{00008000}	 B_HW_W{00}	 WRITE_MEM{0}	 MEM_MUX_OUT{00008000}	 CPSR_Out{0000}	 ALUOutReg{0000X000}	 WB_Out{0000X000}	 MEM_DATA_out{xxxxxxxx}	 WADD{       z}	 WEN{0}	 MUL_ADD{0000}	 OP_MEM_OUT{ffffffff}	 OP_WB_OUT{ffffffff}	 DestAddEXE{0zzzz}	 DestAddMEM{zzzz}	 DestAddWB{zzzz}	 Dest_Reg_ADD{0zzzz}
