	 time{0000000a}	 RegDat 0{xxxxxxxx}	 RegDat 1{xxxxxxxx}	 RegDat 2{xxxxxxxx}	 RegDat 3{xxxxxxxx}	 RegDat 4{xxxxxxxx}	 RegDat 5{xxxxxxxx}	 RegDat 6{xxxxxxxx}	 RegDat 7{xxxxxxxx}	 RegDat 8{xxxxxxxx}	 RegDat 9{xxxxxxxx}	 RegDat10{xxxxxxxx}	 RegDat11{xxxxxxxx}	 RegDat12{xxxxxxxx}	 RegDat13{xxxxxxxx}	 RegDat14{xxxxxxxx}	 RegDat15{xxxxxxxx}
	 time{0000042e}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{00000442}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{00000456}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{0000046a}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{0000047e}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{00000492}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{000004a6}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{000004ba}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{000004ce}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{000004e2}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{000004f6}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{0000050a}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{0000051e}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{00000532}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{00000546}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{0000055a}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{0000056e}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{00000582}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{00000596}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{000005aa}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{000005be}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{000005d2}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{000005e6}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{000005fa}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{0000060e}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{00000622}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{00000636}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{0000064a}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{0000065e}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{00000672}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{00000686}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{0000069a}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{000006ae}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{000006c2}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{000006d6}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{000006ea}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{000006fe}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{00000712}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{00000726}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{0000073a}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{0000074e}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{00000762}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{00000776}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{0000078a}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{0000079e}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{000007b2}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{000007c6}	 RegDat 0{08070605}	 RegDat 1{12111009}	 RegDat 2{16151413}	 RegDat 3{201918fc}	 RegDat 4{24232221}	 RegDat 5{28272625}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
